algo,env.reward_type,env,env.set_additional_goal,EpRewMean,loss_pol_entpen,EpLenMean,loss_pol_surr,TimestepsSoFar,EpThisIter,ev_tdlam_before,TimeElapsed,loss_vf_loss,loss_kl,EpisodesSoFar,loss_ent,perf_flag,suc_percent,best_suc_percent,success percentage
ppo,distance_lambda_0.1,PlanarQuadEnv-v0,angle,,,,,,,,,,,,,,,,
,,,,-382.8581507730658,,5.79,,2041,87,,71.83576607704163,,,369,,,,,0.0
,,,,-385.8622199370836,,6.25,,2557,83,,89.17572212219238,,,452,,,,,0.0
,,,,-378.3161823919911,0.0,5.19,-0.026738882,1022,178,1.5497207641601562e-06,35.694541454315186,5838.24,0.009175959,178,1.2205461,,,,
,,,,-380.4294135493062,0.0,5.02,-0.01361146,2048,199,-5.6862831115722656e-05,73.1947979927063,6576.95,0.017914189,377,1.2278993,,,,
,,,,-395.6597994031199,0.0,6.22,-0.03177289,3062,170,6.020069122314453e-06,106.98215818405151,13764.416,0.010826105,547,1.2186381,,,,
,,,,-382.4249570338169,0.0,5.31,-0.016403776,4089,162,-0.00030303001403808594,138.47664666175842,4979.0127,0.008937948,709,1.2333755,,,,
,,,,-384.19836780703923,0.0,5.08,-0.015490908,5119,189,-1.0251998901367188e-05,174.82712769508362,7974.14,0.0088272905,898,1.2292092,,,,
,,,,-377.1166541303022,0.0,5.05,-0.034495067,6144,192,-0.0015382766723632812,210.8867483139038,3931.4893,0.014256263,1090,1.2149962,,,,
,,,,-384.8182351787766,0.0,5.65,-0.015980855,7165,191,-2.2530555725097656e-05,247.3894989490509,6075.177,0.016281225,1281,1.2232864,,,,
,,,,-394.87958520796116,0.0,5.17,-0.020937428,8189,192,-2.1457672119140625e-05,283.9238164424896,7027.8613,0.01175943,1473,1.2148647,,,,
,,,,-381.37757643504847,0.0,5.11,-0.02051152,9216,190,-5.2928924560546875e-05,320.47671842575073,3447.9688,0.012765888,1663,1.211069,,,,
,,,,-394.34894387248613,0.0,5.58,-0.019371595,10236,176,-1.3589859008789062e-05,355.45536375045776,6776.41,0.018242694,1839,1.202114,,,,
,,,,-395.2468477680427,0.0,5.65,-0.019649457,11260,180,-1.609325408935547e-05,391.1814224720001,6185.2466,0.014063836,2019,1.189389,,,,
,,,,-399.1185548678659,0.0,8.36,-0.041192934,12284,131,2.956390380859375e-05,419.26663184165955,2843.573,0.01798945,2150,1.2158146,,,,
,,,,-390.7881207089743,0.0,5.07,-0.021648474,13310,194,-2.0623207092285156e-05,455.67005133628845,6162.1987,0.010361504,2344,1.2073357,,,,
,,,,-386.1784724520562,0.0,5.38,-0.014978258,14333,189,-6.365776062011719e-05,491.60524129867554,2861.8909,0.015046604,2533,1.2026603,,,,
,,,,-378.2808529942955,0.0,5.2,-0.01759763,15357,188,-1.2516975402832031e-05,526.7754771709442,4681.0483,0.016668996,2721,1.208224,,,,
,,,,-389.1204599860965,0.0,4.84,-0.018498097,16383,217,-2.491474151611328e-05,565.9472539424896,6083.327,0.0094652,2938,1.2031715,,,,
,,,,-386.6508158640899,0.0,5.46,-0.030838607,17407,195,-4.0531158447265625e-06,602.052597284317,10318.141,0.019233303,3133,1.1991444,,,,
,,,,-388.7403839278588,0.0,5.76,-0.020869868,18426,181,-1.3470649719238281e-05,636.5838978290558,6212.863,0.019168867,3314,1.1946737,,,,
,,,,-386.73717955422484,0.0,5.43,-0.017960947,19455,185,-1.5616416931152344e-05,671.5641360282898,5393.906,0.011552586,3499,1.2026234,,,,
,,,,-391.4845663384814,0.0,5.69,-0.01979138,20473,192,-1.2278556823730469e-05,707.2851192951202,5112.324,0.016469857,3691,1.2121305,,,,
,,,,-386.0047607458637,0.0,5.34,-0.015423956,21502,165,-5.602836608886719e-05,739.2513146400452,2361.9128,0.010802561,3856,1.214615,,,,
,,,,-386.465997941539,0.0,4.94,-0.01531477,22524,195,-3.8504600524902344e-05,774.6951773166656,2258.202,0.018018704,4051,1.2277719,,,,
,,,,-382.856884622059,0.0,5.84,-0.031104606,23550,177,-0.00021648406982421875,809.4001533985138,1996.8746,0.01665324,4228,1.2391222,,,,
,,,,-378.1805710528834,0.0,4.73,-0.018452026,24571,220,-3.2186508178710938e-06,848.3484106063843,2902.0186,0.017025284,4448,1.2372111,,,,
,,,,-382.51546301782605,0.0,4.87,-0.019149099,25600,216,-4.017353057861328e-05,887.310534954071,3557.0005,0.01106825,4664,1.2362664,,,,
,,,,-378.56152767355076,0.0,4.78,-0.017800394,26623,201,-4.1961669921875e-05,924.3806955814362,1946.086,0.011090663,4865,1.2330323,,,,
,,,,-372.9987976311548,0.0,4.5,-0.03483259,27644,219,-0.0002669095993041992,963.2212278842926,361.19962,0.012144497,5084,1.21227,,,,
,,,,-387.6469079487369,0.0,4.65,-0.015447915,28670,206,-1.919269561767578e-05,1000.2874057292938,2822.5059,0.025295215,5290,1.2040616,,,,
,,,,-380.9481856362323,0.0,5.62,-0.02500102,29695,164,-1.4185905456542969e-05,1030.2024037837982,683.13403,0.011193133,5454,1.1953905,,,,
,,,,-381.3966441563448,0.0,5.17,-0.024292491,30718,192,-0.0002570152282714844,1064.817129611969,493.44553,0.009982864,5646,1.185292,,,,
,,,,,,,,,,,,,,,,False,0.0,0.0002858776443682104,0.0
,,,,-373.9828607825404,,4.61,,507,111,,19.24002504348755,,,111,,,,,0.0
,,,,-379.31976411746916,,4.92,,1019,102,,37.11053514480591,,,213,,,,,0.0
,,,,-390.62884801572164,,4.12,,1534,125,,58.16100096702576,,,338,,,,,0.0
,,,,-381.41371163231184,,5.19,,2047,99,,75.68976497650146,,,437,,,,,0.0
,,,,-385.6542879652476,,5.31,,2557,96,,92.98126339912415,,,533,,,,,0.0
,,,,-385.11498639577775,0.0,5.25,-0.01826132,1021,202,0.0,36.14680099487305,1404.1583,0.014251306,202,1.1771123,,,,
,,,,-391.62513598352047,0.0,4.72,-0.02602436,2045,218,-1.0251998901367188e-05,74.10804796218872,7015.3276,0.022860447,420,1.1793859,,,,
,,,,-382.1628762001199,0.0,5.3,-0.01842111,3069,196,-7.164478302001953e-05,109.78164434432983,1654.9758,0.008627189,616,1.176296,,,,
,,,,-375.1621231389513,0.0,4.86,-0.03449744,4093,212,-0.0007905960083007812,146.77305006980896,152.035,0.012620324,828,1.1367064,,,,
,,,,-384.92017433087875,0.0,4.74,-0.021464467,5119,180,-2.944469451904297e-05,178.64786100387573,2214.3376,0.012135571,1008,1.1336079,,,,
,,,,-389.62369463778964,0.0,4.9,-0.016976764,6141,199,-5.14984130859375e-05,214.20502257347107,3026.5745,0.021381073,1207,1.1348131,,,,
,,,,-390.90840580504414,0.0,5.11,-0.02507339,7167,201,-4.0531158447265625e-06,249.75945258140564,6362.111,0.01784874,1408,1.117899,,,,
,,,,-376.377824260807,0.0,4.97,-0.031340256,8189,219,-0.0008260011672973633,287.9408960342407,130.94215,0.012822278,1627,1.1095984,,,,
,,,,-384.75573907211583,0.0,4.74,-0.016185459,9213,217,1.6450881958007812e-05,325.5651590824127,1776.0651,0.023017518,1844,1.121832,,,,
,,,,-376.29915755651064,0.0,4.94,-0.03454741,10240,199,-2.574920654296875e-05,361.1643805503845,133.12791,0.015316201,2043,1.1279527,,,,
,,,,-376.2507036559075,0.0,4.94,-0.024855403,11264,211,1.8477439880371094e-05,397.76552844047546,414.18942,0.011592219,2254,1.1324365,,,,
,,,,-374.33496399418937,0.0,4.71,-0.01687606,12288,222,-0.003934621810913086,435.7319917678833,1126.9521,0.009740952,2476,1.1287305,,,,
,,,,-385.3569403505596,0.0,6.3,-0.021145865,13308,165,6.657838821411133e-05,465.2787148952484,171.81866,0.012312419,2641,1.1442878,,,,
,,,,-384.6805996273901,0.0,4.75,-0.018500615,14336,198,1.0371208190917969e-05,499.32260608673096,3484.831,0.018630559,2839,1.1650429,,,,
,,,,-396.68398468241134,0.0,4.99,-0.020593189,15359,212,7.569789886474609e-06,536.1131284236908,5429.471,0.018313179,3051,1.1798124,,,,
,,,,-374.85447254858946,0.0,4.75,-0.017101359,16384,222,-1.6570091247558594e-05,573.8741664886475,1826.8083,0.011779306,3273,1.1805475,,,,
,,,,-399.13643818807805,0.0,4.37,-0.02491046,17408,217,1.996755599975586e-05,611.1561307907104,6009.1807,0.020805785,3490,1.174567,,,,
,,,,-381.5749983425044,0.0,4.76,-0.021381624,18428,212,6.67572021484375e-05,648.0441544055939,536.717,0.010177491,3702,1.1835825,,,,
,,,,-388.41186365506246,0.0,4.76,-0.019349273,19455,210,4.762411117553711e-05,684.3177392482758,3636.2192,0.01932491,3912,1.1743114,,,,
,,,,-386.59784254466416,0.0,4.99,-0.018995263,20480,220,8.535385131835938e-05,721.6740229129791,2023.3696,0.015738228,4132,1.1659801,,,,
,,,,-388.2562367566715,0.0,6.24,-0.021695832,21499,180,1.239776611328125e-05,753.038331747055,2341.0027,0.018332714,4312,1.1619389,,,,
,,,,-388.30415230163453,0.0,4.76,-0.019741531,22528,192,0.00022602081298828125,786.0064578056335,3328.247,0.016210325,4504,1.1574986,,,,
,,,,-376.4381087962138,0.0,4.96,-0.014937332,23550,207,0.00015336275100708008,821.4065113067627,1829.6698,0.012839872,4711,1.1634333,,,,
,,,,-379.04234737626916,0.0,4.91,-0.023663254,24574,218,0.0003021359443664551,858.6027054786682,4202.7446,0.012183546,4929,1.1616973,,,,
,,,,-387.96182609975244,0.0,4.7,-0.019672042,25595,209,0.000171661376953125,894.3418972492218,5182.799,0.02473286,5138,1.155674,,,,
,,,,-382.28403556541116,0.0,4.88,-0.023123294,26624,210,0.00026220083236694336,930.0811622142792,4610.555,0.02537052,5348,1.1548823,,,,
,,,,-377.25060479467885,0.0,5.14,-0.021030046,27647,209,-0.07230901718139648,965.3805680274963,1781.8096,0.026092853,5557,1.1559886,,,,
,,,,-396.84425974680954,0.0,4.57,-0.02396287,28670,218,-0.003366231918334961,1002.3324859142303,6079.3286,0.037709106,5775,1.1581739,,,,
,,,,-385.6734893306291,0.0,4.4,-0.017935773,29692,218,0.00013554096221923828,1038.9095134735107,2507.9448,0.016453084,5993,1.1715043,,,,
,,,,-388.9120693162396,0.0,5.36,-0.019244438,30719,182,2.3484230041503906e-05,1069.7137150764465,2149.309,0.010681639,6175,1.1574771,,,,
,,,,,,,,,,,,,,,,False,0.0,0.0002858776443682104,0.0
,,,,-375.4429408622218,,4.86,,510,104,,17.262024879455566,,,104,,,,,0.0
,,,,-370.84518100922963,,4.22,,1024,119,,36.70954465866089,,,223,,,,,0.0
,,,,-374.0942837971197,,4.66,,1533,107,,54.74195218086243,,,330,,,,,0.0
,,,,-375.97754835428736,,4.91,,2044,105,,72.25340270996094,,,435,,,,,0.0
,,,,-383.034176525157,,4.5,,2559,113,,91.07149910926819,,,548,,,,,0.0
