algo,env.set_additional_goal,env,env.reward_type,loss_kl,TimestepsSoFar,loss_pol_surr,EpisodesSoFar,loss_vf_loss,loss_pol_entpen,EpThisIter,TimeElapsed,loss_ent,ev_tdlam_before,EpRewMean,EpLenMean,best_suc_percent,suc_percent,perf_flag,success percentage
ppo,angle,PlanarQuadEnv-v0,distance_lambda_1,,,,,,,,,,,,,,,,
,,,,0.017519558,22527,-0.044474926,1381,190184.03,0.0,66,704.8105220794678,0.1159091,0.10893762111663818,450.5067676267912,15.5,,,,
,,,,0.01827974,23541,-0.04600294,1448,166627.44,0.0,67,738.0468513965607,0.10953224,0.1612871289253235,574.5430011238439,15.59,,,,
,,,,0.032053232,24568,-0.032667078,1507,158168.16,0.0,59,766.229852437973,0.11536634,0.0847272276878357,676.3408020142956,16.76,,,,
,,,,0.017096104,25587,-0.04292724,1572,214170.69,0.0,65,796.8447844982147,0.110069156,0.16359084844589233,510.9408261821014,16.39,,,,
,,,,0.02023042,26623,-0.050119035,1639,201784.95,0.0,67,830.3107252120972,0.10451913,0.11165320873260498,387.2647712168276,15.19,,,,
,,,,0.018626861,27642,-0.0330678,1702,174952.62,0.0,63,861.463217496872,0.095522285,0.19382792711257935,520.4525689151486,15.48,,,,
,,,,0.018784113,28661,-0.039404526,1763,164610.69,0.0,61,893.0602428913116,0.09720099,0.14503788948059082,589.9343964902924,16.18,,,,
,,,,0.02312067,29694,-0.042850316,1829,180231.62,0.0,66,925.7237482070923,0.0812397,0.09708982706069946,570.205753776879,16.08,,,,
,,,,0.024083722,30704,-0.04731492,1890,159453.0,0.0,61,957.2205851078033,0.08671594,0.06678003072738647,637.8912599998852,16.33,,,,
,,,,,,,,,,,,,,,,0.6440146366962886,0.7317460317460317,True,0.7317460317460317
,,,,,505,,31,,,31,15.989374876022339,,,820.4425600307939,16.29032258064516,,,,0.9354838709677419
,,,,,1019,,62,,,31,31.633467435836792,,,792.7778325800989,16.43548387096774,,,,0.9193548387096774
,,,,,1530,,93,,,31,48.25516128540039,,,757.9996084100966,16.451612903225808,,,,0.8924731182795699
,,,,,2044,,124,,,31,64.18654775619507,,,730.9598329164033,16.4,,,,0.8951612903225806
,,,,,2557,,156,,,32,79.80486011505127,,,720.6427937951495,16.43,,,,0.8910256410256411
