env.set_additional_goal,env.reward_type,env,algo,loss_pol_surr,EpLenMean,TimeElapsed,loss_ent,EpThisIter,loss_kl,loss_vf_loss,EpRewMean,TimestepsSoFar,EpisodesSoFar,ev_tdlam_before,loss_pol_entpen,suc_percent,best_suc_percent,perf_flag,success percentage
angle,ttr,PlanarQuadEnv-v0,ppo,,,,,,,,,,,,,,,,
,,,,-0.03914433,25.9,474.35782623291016,0.73650324,40,0.023125533,174758.61,771.223570890447,21501,819,0.14355731010437012,0.0,,,,
,,,,-0.03504183,26.12,496.8964672088623,0.7139482,38,0.013303317,173670.94,808.0245659356801,22504,857,0.08369499444961548,0.0,,,,
,,,,-0.03728815,26.44,519.379641532898,0.70979893,38,0.018072532,165716.05,797.2728045390588,23528,895,0.06823736429214478,0.0,,,,
,,,,-0.026501078,26.75,541.8071348667145,0.7090527,39,0.015210534,164456.8,776.5778849855974,24559,934,0.06682568788528442,0.0,,,,
,,,,-0.028860012,26.38,564.1644611358643,0.7083589,39,0.013747464,170660.97,780.8364652470366,25584,973,0.10515916347503662,0.0,,,,
,,,,-0.030938163,26.39,586.508229970932,0.73507845,39,0.028180249,169602.52,821.3041068831609,26618,1012,0.03794980049133301,0.0,,,,
,,,,-0.029107058,26.81,609.0694048404694,0.7540801,38,0.015685424,170955.3,873.9859484203473,27635,1050,-0.0018763542175292969,0.0,,,,
,,,,-0.02788823,26.75,631.4097468852997,0.7560254,38,0.016261913,167896.06,860.4980317510359,28655,1088,0.0102652907371521,0.0,,,,
,,,,-0.03348493,26.3,654.3403527736664,0.750383,40,0.013535479,168364.56,871.3229227008039,29673,1128,0.0338137149810791,0.0,,,,
,,,,-0.031582348,25.91,677.5863234996796,0.743884,40,0.01138183,177587.61,855.3473303926962,30710,1168,0.002492189407348633,0.0,,,,
,,,,,,,,,,,,,,,,0.8672945205479452,0.6883005977796754,True,0.8672945205479452
,,,,,25.842105263157894,11.172293901443481,,19,,,887.4947799171098,491,19,,,,,,0.9473684210526315
